epoch,p2p,d,p2p_val,d_val,time
1,51.7459,0.250134,73.8739,0.0739952,372.229402065
1,32.8239,0.0185643,65.7281,0.859112,374.310493946
2,21.764,0.0487553,53.5555,1.38572,145.796286821
3,15.7505,0.201941,43.3911,0.646294,142.911166906
4,12.797,0.0613777,31.1602,0.541424,141.60236001
5,11.8732,0.571369,26.1763,0.385036,141.820985079
6,10.5859,0.142994,20.804,0.221684,142.49354291
7,10.8598,0.817484,14.9972,0.559295,141.613698006
8,10.3755,0.500476,14.8682,0.692832,142.565026999
9,10.1111,0.511117,15.8331,0.639566,143.327943802
10,9.89656,0.465374,14.2702,0.678036,142.599900961
11,9.66106,0.544886,13.4451,0.798499,142.249726057
12,9.551,0.497091,13.774,0.87643,143.39913702
13,9.60308,0.626003,13.6832,0.83493,143.126945019
14,9.63137,0.591877,13.6697,0.939985,140.965642929
15,9.6905,0.578277,14.0087,0.735785,142.568769932
16,9.24302,0.479011,13.3796,1.12316,140.860201836
17,9.53467,0.496545,14.2203,0.795672,142.395883083
18,9.19611,0.456638,13.2831,1.33068,142.036781073
19,9.11065,0.479013,13.2557,1.94953,140.143290043
20,9.64607,0.902985,14.4456,0.694966,140.358516932
21,9.54742,0.668791,15.3623,0.656428,138.09007287
22,9.45874,0.636507,15.0155,0.634435,140.555863142
23,9.34284,0.580495,14.172,0.731433,141.125986814
24,8.98347,0.449189,13.4628,1.2757,139.741052866
25,8.93692,0.487545,14.0367,1.04685,139.77282691
26,8.97149,0.385825,13.2047,1.70458,139.199440002
27,9.41796,0.392657,14.0693,0.706197,140.850331068
28,8.7301,0.205732,13.5208,1.56079,141.456078053
29,9.05758,0.601172,13.7397,0.616643,139.619945049
30,8.74839,0.428194,13.8093,0.966156,141.853789806
31,8.95112,0.356812,14.2355,1.57647,141.68530488
32,9.16617,0.625411,13.7247,0.642422,141.513141155
33,8.93303,0.483363,13.7614,1.00547,140.526587963
34,8.68626,0.303959,12.7617,1.5193,141.374149799
35,8.98148,0.473215,16.8997,3.13627,140.129653931
36,9.16183,0.998294,9.90806,0.712898,139.761757135
37,9.13157,0.690983,14.1962,0.702648,140.804987192
38,8.96796,0.632561,14.1135,0.691927,140.518559933
39,8.59252,0.529812,13.7232,1.18065,140.937947989
40,8.55059,0.462725,13.5223,1.06957,140.54738903
41,8.61983,0.462525,13.4903,1.53871,138.385885
42,8.34114,0.311341,12.735,1.84523,140.111644983
43,8.61051,0.525003,13.8223,0.921492,141.549217939
44,9.24444,0.37574,9.95518,2.00401,139.410540104
45,9.1297,0.826165,14.3558,0.709551,139.825034857
46,9.00578,0.594741,14.4837,0.572813,138.513704062
47,8.66376,0.496624,14.4072,0.535786,139.860044956
48,8.53325,0.29824,14.272,0.819,140.131676197
1,8.45841,0.43275,14.9234,0.379257,426.450857162
1,8.43733,0.352964,14.7095,0.428913,334.200549841
2,8.50299,0.386979,14.3454,0.486844,145.962967873
3,8.62699,0.423095,14.1034,0.521791,143.705924988
4,8.78121,0.444014,14.0942,0.532295,142.723325014
5,8.66837,0.462641,14.2066,0.473628,141.039868116
6,8.6188,0.4592,14.3709,0.497447,141.35017705
7,8.72346,0.465579,13.9631,0.491262,140.717518091
8,8.58351,0.475372,14.5235,0.495423,141.153601885
