epoch,p2p,d,p2p_val,d_val,time
1,28.3859,0.507285,29.2039,0.353987,353.721824884
2,20.4641,0.186909,29.0241,0.10796,101.318022013
3,17.8237,0.0338066,28.7226,0.0289026,99.3135831356
4,16.8283,0.00924993,29.36,0.00908107,98.6549139023
5,15.8392,0.0045647,30.6509,0.0034582,98.0669760704
6,15.2107,0.00196496,26.7755,0.00412182,97.152518034
7,14.7294,0.00172139,27.0844,0.00167604,97.2331178188
8,14.5544,0.00119809,27.7705,0.00225316,97.1951031685
9,14.2738,0.00129562,25.6647,0.00264916,96.1985628605
10,14.3287,0.35433,23.7384,0.0128638,96.5425360203
11,14.1516,0.0100192,21.9157,0.0185354,96.4366269112
12,14.0073,0.0126454,19.5958,0.0611236,96.1503698826
13,13.902,0.0300981,21.2335,0.0503745,96.7124409676
14,14.3406,0.0345919,18.5234,0.0939484,96.0637249947
15,13.946,0.079193,20.0525,0.0835305,97.8702549934
16,13.9933,0.0604203,17.1434,0.161731,96.1067659855
17,13.7025,0.161401,19.9373,0.0316549,96.1326811314
18,13.6763,0.0314426,17.2748,0.142572,96.0171661377
19,13.9578,0.0613451,15.6729,0.792994,95.9136650562
20,13.6974,0.545482,16.4291,0.169001,96.001996994
21,13.6417,0.123613,17.2663,0.142777,96.1948730946
22,13.7908,0.11967,15.5622,0.707,96.3575060368
23,13.8504,0.374856,16.4884,0.221384,96.1443459988
24,13.5182,0.183184,16.3991,0.171999,96.0673060417
25,13.605,0.114335,15.8023,2.57835,96.0978429317
26,13.7189,0.512471,15.7944,0.618633,96.3237538338
27,13.65,0.277438,15.0128,0.777588,96.4562339783
28,13.9813,0.298686,15.6833,1.30205,96.4828798771
29,14.4691,0.489714,17.3904,2.0303,96.5182909966
30,14.3034,0.827699,15.4719,0.707553,96.2165238857
31,14.2044,0.513123,16.0122,1.15984,96.2352919579
32,14.2127,0.515746,15.5567,0.534675,96.2044579983
33,14.1271,0.35149,15.9283,0.618658,96.1925590038
34,14.0756,0.410646,15.639,0.382597,96.1375741959
35,14.2807,0.322452,17.0824,2.44654,96.2136011124
36,13.8181,0.551533,18.4251,0.564799,96.1379299164
37,13.7406,0.399081,28.3947,0.869963,96.1540570259
38,13.546,0.487538,35.9084,0.450195,96.0667049885
39,13.4539,0.394732,30.6402,0.335689,96.0214412212
40,13.2715,0.316966,20.4023,0.754117,97.0002930164
41,13.3712,0.401904,15.21,0.629329,95.8479619026
42,13.4591,0.34182,23.0156,0.676379,96.1917600632
43,13.3225,0.517641,33.5934,0.450719,95.9561929703
44,13.2166,0.383619,30.4366,0.367921,95.866122961
45,13.2121,0.366804,14.6576,2.40412,95.8778429031
46,13.9809,0.760834,15.2887,0.77121,95.9428610802
47,13.876,0.654808,17.9211,0.727331,95.8973288536
